"school","city","state","region","conference","division"
"Abilene Christian University","Abilene","Texas","Mid South","Western Athletic Conference","NCAA D1"
"Academy of Art University","San Francisco","California","West Coast","Pacific West Conference","NCAA D2"
"Adams State University","Alamosa","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Adelphi University","Garden City","New York","North East","Northeast-10 Conference","NCAA D2"
"Adrian College","Adrian","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Alabama A&M University","Normal","Alabama","South East","Southwestern Athletic Conference","NCAA D1"
"Alabama State University","Montgomery","Alabama","South East","Southwestern Athletic Conference","NCAA D1"
"Albany State University","Albany","Georgia","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Albertus Magnus College","New Haven","Connecticut","New England","Great Northeastern Athletic Conference","NCAA D3"
"Albion College","Albion","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Albright College","Reading","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Alcorn State University","Alcorn State","Mississippi","Mid South","Southwestern Athletic Conference","NCAA D1"
"Alderson Broaddus University","Philippi","West Virginia","Mid East","Great Midwest Athletic Conference","NCAA D2"
"Alfred University","Alfred","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"Alice Lloyd College","Pippa Passes","Kentucky","Mid East","River States Conference","NAIA"
"Alice Lloyd College","Pippa Passes","Kentucky","Mid East","River States Conference","NAIA"
"Allan Hancock College","Santa Maria","California","West Coast","Western State Conference","JC"
"Allegany College of Maryland","Cumberland","Maryland","North East","Maryland Junior College Athletic Association","JC"
"Allegheny College","Meadville","Pennsylvania","North East","North Coast Athletic Conference","NCAA D3"
"Allen Community College","Iola","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Allen University","Columbia","South Carolina","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Allen University","Columbia","South Carolina","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Alma College","Alma","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Alpena Community College","Alpena","Michigan","Great Lakes","Michigan Community College Athletic Association","JC"
"American International College","Springfield","Massachusetts","New England","Northeast-10 Conference","NCAA D2"
"American River College","Sacramento","California","West Coast","Big 8 Conference","JC"
"American University","Washington","District Of Columbia","North East","Patriot League","NCAA D1"
"Amherst College","Amherst","Massachusetts","New England","New England Small College Athletic Conference","NCAA D3"
"Ancilla College of Marian University","Donaldson","Indiana","Great Lakes","MCCAA","JC"
"Anderson University – Indiana","Anderson","Indiana","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"Anderson University – South Carolina","Anderson","South Carolina","South East","South Atlantic Conference","NCAA D2"
"Andrew College","Cuthbert","Georgia","South East","Georgia Collegiate Athletic Association","JC"
"Angelina College","Lufkin","Texas","Mid South","NJCAA Region 14","JC"
"Angelo State University","San Angelo","Texas","Mid South","Lone Star Conference","NCAA D2"
"Anna Maria College","Paxton","Massachusetts","New England","Great Northeast Athletic Conference","NCAA D3"
"Anne Arundel Community College","Arnold","Maryland","North East","Maryland Junior College Athletic Association","JC"
"Anoka-Ramsey Community College","Coon Rapids","Minnesota","Mid West","Minnesota College Athletic Conference","JC"
"Appalachian State University","Boone","North Carolina","Mid East","Sun Belt Conference","NCAA D1"
"Aquinas College – Michigan","Grand Rapids","Michigan","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"Arcadia University","Glenside","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Arizona Christian University","Phoenix","Arizona","South West","Golden State Athletic Conference","NAIA"
"Arizona State University","Tempe","Arizona","South West","Pacific-12 Conference","NCAA D1"
"Arizona Western College","Yuma","Arizona","South West","Arizona Community College Athletic Conference","JC"
"Arkansas Baptist College","Little Rock","Arkansas","Mid South","Sooner Athletic Conference","NAIA"
"Arkansas State University","Jonesboro","Arkansas","Mid South","Sun Belt Conference","NCAA D1"
"Arkansas Tech University","Russellville","Arkansas","Mid South","Great American Conference","NCAA D2"
"ASA College – Miami","Miami","Florida","South East","NJCAA Region 15","JC"
"Asbury University","Wilmore","Kentucky","Mid East","National Christian College Athletic Association","NCAA D3"
"Ashland University","Ashland","Ohio","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Assumption University","Worcester","Massachusetts","New England","Northeast-10 Conference","NCAA D2"
"Atlantic Cape Community College","Mays Landing","New Jersey","North East","Garden State Athletic Conference","JC"
"Auburn University","Auburn","Alabama","South East","Southeastern Conference","NCAA D1"
"Auburn University – Montgomery","Montgomery","Alabama","South East","Gulf South Conference","NCAA D2"
"Augsburg University","Minneapolis","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"Augusta University","Augusta","Georgia","South East","Peach Bell Conference","NCAA D2"
"Augustana College – Illinois","Rock Island","Illinois","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"Augustana University – South Dakota","Sioux Falls","South Dakota","North West","Northern Sun Intercollegiate Conference","NCAA D2"
"Aurora University","Aurora","Illinois","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Austin College","Sherman","Texas","Mid South","Southern Collegiate Athletic Conference","NCAA D3"
"Austin Peay State University","Clarksville","Tennessee","Mid East","Ohio Valley Conference","NCAA D1"
"Ave Maria University","Ave Maria","Florida","South East","Sun Conference","NAIA"
"Averett University","Danville","Virginia","Mid East","USA South Athletic Conference","NCAA D3"
"Avila University","Kansas City","Missouri","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Azusa Pacific University","Azusa","California","West Coast","Great Northeast Athletic Conference","NCAA D2"
